                                          name                                           |    weight     |         measure         | kcal | kind 
 Agrião                                                                                  | 20 g          | 1 prato de sobremesa    |    3 | a
 Água com gás Fonte Ijuí                                                                 | 200 ml        | 1 copo                  |    0 | a
 Água de Coco                                                                            | 200 ml        | 1 copo                  |   44 | a
 Água sem gás                                                                            | 100 ml        | 1 copo                  |    0 | a
 Aipo (Salsão)                                                                           | 15 g          | 1 colher de sopa        |    2 | a
 Alcachofra cozida                                                                       | 120 g         | 1 unidade               |   56 | a
 Alcaparra industrializada                                                               | 15 g          | 1 colher de sopa        |    3 | a
 Alface                                                                                  | 30 g          | 1 prato de sobremesa    |    3 | a
 Alfarroba com Damasco - Carob House                                                     | 25 g          | 3 unidades              |   81 | a
 Alfavaca                                                                                | 30 g          | 1 prato de sobremesa    |    8 | a
 Alho                                                                                    | 3 g           | 1 unidade               |    3 | a
 Alho Poró                                                                               | 20 g          | 1 colher de sopa        |   12 | a
 Alho poró refogado                                                                      | 15 g          | 1 colher de sopa        |    9 | a
 Alimento à Base de Soja Ades Frapê de Coco Zero                                         | 200 ml        | 1 copo                  |   63 | a
 Alimento à Base de Soja Ades Original                                                   | 200 ml        | 1 copo                  |   77 | a
 Alimento Protéico (Whey Protein - Proteína)                                             | 30 g          | 1 colher                |  120 | a
 All Bran flakes - KELLOGS                                                               | 20 g          | 1 colher de sopa        |   50 | a
 Almeirão                                                                                | 30 g          | 1 prato de sobremesa    |    5 | a
 Almeirão refogado                                                                       | 20 g          | 1 colher de sopa        |   13 | a
 Almondega Vegetal - Superbom                                                            | 50 g          | 2 unidades              |   53 | a
 Amaranto                                                                                | 20 g          | 1 colher de sopa        |    5 | a
 Amaranto orgânico em flocos - Jasmine                                                   | 15 g          | 1 colher de sopa        |   56 | a
 Ameixa                                                                                  | 16 g          | 1 unidade               |    8 | a
 Ameixa com coco diet - Flormel                                                          | 25 g          | 1 unidade               |   86 | a
 Ameixa em Calda Enlatada                                                                | 20 g          | 1 unidade               |   37 | a
 ameixa preta fresca                                                                     | 85 g          | unidade                 |   36 | a
 Ameixa preta seca                                                                       | 5 g           | 1 unidade               |   12 | a
 Ameixa Vermelha Fresca                                                                  | 16 g          | 1 unidade               |    9 | a
 Amêndoa                                                                                 | 5 g           | 5 unidades              |   29 | a
 Amêndoa Torrada e Salgada                                                               | 5 g           | 5 unidades              |   29 | a
 Amora                                                                                   | 20 g          | 10 unidades             |   10 | a
 Anchova assada                                                                          | 100 g         | 1 filé                  |  160 | a
 Antepasto de abobrinha e pimentão orgânico - Jatobá                                     | 25 g          | 1 colher de sopa        |   64 | a
 Antepasto de berinjela orgânico - Jatobá                                                | 25 g          | 1 unidade               |   70 | a
 Aquarius Active Limão                                                                   | 200 ml        | 1 unidade               |   49 | a
 Aquarius Fresh                                                                          | 20 ml         | 1 unidade               |    1 | a
 Aquarius Lemon (limão)                                                                  | 200 ml        | 1 colher de sopa        |    1 | a
 Aquarius Orange (Laranja)                                                               | 200 ml        | 1 copo                  |    1 | a
 Aquarius Regular                                                                        | 200 ml        | 1 unidade               |    1 | a
 Aquarius regular com gás                                                                | 200 ml        | 1 unidade               |    1 | a
 Arroz 7 cereais                                                                         | 16 g          | 1 colher de sopa        |   55 | a
 arroz agulhinha integral - Jasmine                                                      | 100g          | 1 xícara                |  344 | a
 Arroz Cateto Integral Curto - MÃE TERRA                                                 | 25 g          | 1 colher de sopa        |   45 | a
 Arroz com Lentilha                                                                      | 50 g          | 2 colheres de sopa      |   60 | a
 Arroz cozinha italiana - Tio João                                                       | 25 g          | 1 colher de sopa        |   42 | a
 Arroz cozinha japonesa - Tio João                                                       | 25 g          | 1 colher de sopa        |   42 | a
 Arroz cozinha tailandesa - Tio João                                                     | 25 g          | 1 colher de sopa        |   42 | a
 Arroz integral cozido                                                                   | 16 g          | 1 colher de sopa        |   20 | a
 Arroz Integral - TAEQ                                                                   | 25 g          | 1 colher de sopa        |   45 | a
 Arroz Preto - Ruzene                                                                    | 25 g          | 1 colher de sopa        |   43 | a
 Arroz selvagem                                                                          | 16 g          | 1 colher de sopa        |   16 | a
 Arroz Vermelho - Camil                                                                  | 25 g          | 1 colher de sopa        |   42 | a
 Arroz vermelho Ruzene                                                                   | 25 g          | 1 colher de sopa        |   43 | a
 aspargo cozido                                                                          | 100g          | 6 unidades              |   22 | a
 Aspargo Cru                                                                             | 30 g          | 2 unidades              |    6 | a
 Aspargo em Conserva                                                                     | 15 g          | 2 unidades              |    3 | a
 Atemóia                                                                                 | 80 g          | 1 unidade               |   74 | a
 Atum ao molho de salsa e tomate                                                         | 60g           | 3 colheres              |   66 | a
 Atum enlatado em água e sal                                                             | 39 g          | 3 colheres de sopa      |   50 | a
 Atum fresco cozido / assado / grelhado - peixe                                          | 120 g         | 1 filé                  |  129 | a
 Atum sólido light - Coqueiro                                                            | 60 g          | 3 colheres de sopa      |   61 | a
 Aveia em flocos                                                                         | 11 g          | 1 colher de sopa        |   43 | a
 Aveia Integral em Flocos                                                                | 30 g          | 1 colher de sopa        |  110 | a
 Avelã com casca sem sal                                                                 | 1 g           | 1 unidade               |    6 | a
 Avocato (abacate mexicano)                                                              | 85 g          | 1 unidade média         |  150 | a
 Azeite de oliva                                                                         | 8 g           | 1 colher de sopa        |   70 | a
 Azeite de Oliva Extra  Virgem - Borges                                                  | 13 ml         | 1 colher de sopa        |  108 | a
 Azeitonas verdes sem caroço light - Rivoli                                              | 20g.          | 5 unidades              |   24 | a
 Babaganuche - Comida árabe                                                              | 10 g          | 1 colher de chá         |    8 | a
 Bala de chá de hibiscus zero açúcar - Eco drops                                         | 8 g           | 1 bala                  |   23 | a
 bala de chá vermelho zero açúcar - Eco drops                                            | 8 g           | 1 bala                  |   23 | a
 bala de gengibre                                                                        | 5g            | 1 unidade               |    7 | a
 Bala  de  hortelã                                                                       | 5 g           | 1 unidade               |   18 | a
 bala de mel com propolis                                                                | 5g            | 1 unidade               |   17 | a
 Bala de menta                                                                           | 5 g           | 1 unidade               |   18 | a
 Balas algas marinhas - Sabor frutas - Sweet jelly                                       | 7 g           | 1 unidade               |   27 | a
 Bananada Natural - Nutrilac                                                             | 28 g          | 1 unidade               |   72 | a
 Bananada sem açúcar Flormel                                                             | 25 g          | 1 unidade               |   23 | a
 Banana da Terra                                                                         | 100 g         | 1 unidade               |  128 | a
 Banana desidratada sem açúcar                                                           | 30 g          | 1 pacote                |  104 | a
 Banana figo                                                                             | 65 g          | 1 unidade               |   68 | a
 Banana liofilizada                                                                      | 40 g          | 1 pacote                |  144 | a
 Banana maçã                                                                             | 65 g          | 1 unidade               |   56 | a
 Banana nanica (caturra, dágua)                                                          | 85 g          | 1 unidade               |   78 | a
 Banana ouro                                                                             | 40 g          | 1 unidade               |   44 | a
 Banana pacova                                                                           | 100 g         | 1 unidade               |   78 | a
 Banana passa sem açúcar                                                                 | 25 g          | 1 unidade               |   61 | a
 Banana power s/ açúcar                                                                  | 27 g          | 1 unidade               |   76 | a
 Banana prata                                                                            | 65 g          | 1 unidade               |   64 | a
 Bananinha Paraibuna                                                                     | 36 g          | 1 unidade               |   19 | a
 Bananinha Paraibuna Sem açúcar                                                          | 23 g          | 1 unidade               |   70 | a
 Barra de Biscoito Integral com Recheio Sabor de Salada de frutas Plus Vita              | 24 g          | 1 unidade               |   84 | a
 Barra de biscoito integral PULLMAN                                                      | 23 g          | 1 unidade               |   84 | a
 Barra de cerais morango light - Nestlé                                                  | 60 g          | 1 barra                 |   63 | a
 Barra de cereais de Açaí - Bio 2                                                        | 25 g          | 1 unidade               |   80 | a
 Barra de cereais de Acerola - Bio 2                                                     | 25 g          | 1 unidade               |   90 | a
 Barra de cereais de banana diet                                                         | 25 g          | 1 unidade               |   70 | a
 Barra de cereais de Cupuaçu - Bio 2                                                     | 25 g          | 1 unidade               |   90 | a
 Barra de cereais de Goiaba- Bio 2                                                       | 25 g          | 1 unidade               |   80 | a
 Barra de cereais sinfonia de nozes                                                      | 25 g          | 1 unidade               |   70 | a
 Barra de cereais zero açucar banana com chocolate - Trio                                | 22 g          | 1 barrinha              |   78 | a
 Barra de cereal banana e soja - TAEQ                                                    | 25 g          | 1 unidade               |   84 | a
 barra de cereal Bio2 organic quinoa                                                     | 25 g          | 1 unidade               |   86 | a
 Barra de cereal canela com gengibre                                                     | 25 g          | 1 unidade               |   90 | a
 Barra de Cereal com Soja Banana Sollys                                                  | 25 g          | 1 unidade               |   80 | a
 Barra de Cereal com Soja Maçã Sollys                                                    | 25 g          | 1 unidade               |   82 | a
 Barra de cereal de castanha Fibrithin                                                   | 25 g          | 1 unidade               |   84 | a
 Barra de cereal de morango Fibrithin                                                    | 25 g          | 1 unidade               |   86 | a
 Barra de cereal gelada Tutti Soia abacaxi com hortelã                                   | 70 g          | 1 unidade               |  102 | a
 Barra de cereal gelada Tutti Soia Açaí com chocolate                                    | 70 g          | 1 unidade               |  152 | a
 Barra de cereal Gravittá                                                                | 15 g          | 1 unidade               |   59 | a
 Barra de cereal morango e soja - TAEQ                                                   | 25 g          | 1 unidade               |   83 | a
 Barra de cereal sabor brownie light                                                     | 25 g          | 1 barra                 |  106 | a
 Barra de cereal salada de frutas Fibrithin                                              | 25 g          | 1 unidade               |   69 | a
 Barra de fruta banana light Nutry                                                       | 20 g          | 1 barra                 |   71 | a
 Barra de frutas Nutry light sabor morango                                               | 20 g          | 1 unidade               |   74 | a
 Barra de frutas supino banana e ameixa light                                            | 27 g          | 1 unidade               |   78 | a
 Barra de sementes gergelim e castanha do caju - Levittá.                                | 10 g          | 1 unidade               |   45 | a
 Barra de sementes gergelim e linhaça - Levittá.                                         | 20 g          | 1 unidade               |   40 | a
 Barrinha de banana                                                                      | 90 g          | 1 unidade               |   90 | a
 Barrinha de frutas secas com chocolate- Fibrasmil.                                      | 25 g          | 1 unidade               |   82 | a
 Barrinha de frutas secas - Fibrasmil.                                                   | 30 g          | 1 unidade               |   51 | a
 Barrinha de quinua - Quinua Real.                                                       | 25 g          | 1 unidade               |   89 | a
 Batata cozida                                                                           | 140 g         | 1 unidade               |   73 | a
 Batata doce cozida                                                                      | 70 g          | 2 colheres de sopa      |   54 | a
 batida de frutas                                                                        | 100ml         | 1 copo                  |  180 | a
 Baunilha Bourbon Goumet Fava                                                            | 10 g          | 1 unidade               |    7 | a
 Bebida à base de Soja Ades Zero sabor laranja                                           | 200 ml        | 1 copo                  |   33 | a
 Bebida à base de Soja Ades Zero sabor maçã                                              | 200 ml        | 1 copo                  |   43 | a
 Bebida à base de Soja Ades Zero sabor pêssego                                           | 200 ml        | 1 copo                  |   33 | a
 Bebida à base de Soja Ades Zero sabor uva                                               | 200 ml        | 1 copo                  |   33 | a
 Bebida à Base de Soja Sollys Nestlé Abacaxi                                             | 200 ml        | 1 copo                  |   78 | a
 Bebida à Base de Soja Sollys Nestlé Laranja                                             | 200 ml        | 1 copo                  |   92 | a
 Bebida à Base de Soja Sollys Nestlé Maçã                                                | 200 ml        | 1 copo                  |   80 | a
 Bebida à Base de Soja Sollys Nestlé Original                                            | 200 ml        | 1 copo                  |   89 | a
 Bebida à Base de Soja Sollys Nestlé pêssego                                             | 200 ml        | 1 copo                  |   81 | a
 Bebida à Base de Soja Sollys Nestlé Uva                                                 | 200 ml        | 1 copo                  |   86 | a
 Bebida de arroz Bio Rice                                                                | 200 ml        | 1 copo                  |  122 | a
 Bebida de Soja Light Naturis - Batavo                                                   | 200 ml        | 1 unidade               |   58 | a
 Bebida de Soja Original Naturis - Batavo                                                | 200 ml        | 1 copo                  |   97 | a
 Bebida de Soja - Sabor Original - TAEQ                                                  | 200 ml        | 1 unidade               |   68 | a
 Bebida de Suco e Soja Sabor Abacaxi, Manga e Maracujá Light Naturis - Batavo            | 200 ml        | 1 copo                  |   20 | a
 Bebida de Suco e Soja Sabor Laranja Light Naturis - Batavo                              | 200 ml        | 1 unidade               |   20 | a
 Bebida de Suco e Soja Sabor Maçã Light Naturis - Batavo                                 | 200 ml        | 1 copo                  |   20 | a
 Bebida de Suco e Soja Sabor Pêssego Light Naturis - Batavo                              | 200 ml        | 1 copo                  |   20 | a
 Bebida e suco soja maracujá Sollys                                                      | 200 ml        | 1 copo                  |   52 | a
 Bebida H2O                                                                              | 500 ml        | 1 garrafa               |    0 | a
 Bebida Láctea Becel Pro-Activ                                                           | 200 ml        | 1 copo                  |   66 | a
 Bebida Láctea cereais e frutas Nestlé                                                   | 300 ml        | 1 copo                  |  269 | a
 Bebida láctea desnatada com polpa de morango light                                      | 200 ml        | 1 copo                  |   88 | a
 Bebida Láctea Light com Iogurte Desnatado e Suco de Uva Molico NESTLÉ                   | 170 g         | 1 unidade               |   30 | a
 Bebida lactea uht com cereais e polpa de banana                                         | 200ml         | 1 copo                  |  144 | a
 Beringela / berinjela crua                                                              | 200 g         | 1 unidade               |   38 | a
 Berinjela/beringela cozida                                                              | 40 g          | 2 colheres de sopa      |    1 | a
 Berinjela grelhada                                                                      | 20 g          | 1 rodela                |    7 | a
 Beterraba cozida                                                                        | 34 g          | 2 colheres de sopa      |   17 | a
 Beterraba crua                                                                          | 32 g          | 2 colheres de sopa      |   15 | a
 Bio Fibras Ameixa cremoso BATAVO                                                        | 110 g         | 1 unidade               |   89 | a
 Bio Fibras Ameixa líquido BATAVO                                                        | 180 g         | 1 unidade               |  130 | a
 Bio Fibras Branco cremoso BATAVO                                                        | 110 g         | 1 unidade               |   89 | a
 Bio Fibras Mamão líquido  BATAVO                                                        | 180 g         | 1 unidade               |  116 | a
 Bio Fibras Morango cremoso BATAVO                                                       | 100 g         | 1 unidade               |   89 | a
 Bio Fibras Morango líquido BATAVO                                                       | 180 g         | 1 copo                  |  130 | a
 Bio Fibras Zero Açúcar Frutas Vermelhas cremoso BATAVO                                  | 110 g         | 1 unidade               |   45 | a
 Bio Fibras Zero Açúcar Pêssego cremoso BATAVO                                           | 110 g         | 1 unidade               |   45 | a
 biomassa da banana verde                                                                | 20g           | 1 colher                |   23 | a
 Bio organic musli crunchy chocolate and hazelnuts                                       | 10 g          | 2 colheres de sopa      |   44 | a
 Bio organic musli crunchy red fruits                                                    | 10 g          | 2 colheres de sopa      |   44 | a
 Bio organic musli tradicional 40% fruits                                                | 10 g          | 2 colheres de sopa      |   35 | a
 Bioslim Colágeno                                                                        | 10 g          | 1 colher de sopa        |   31 | a
 Bioslim Diet Shake                                                                      | 35 g          | 3 colheres de sopa      |   97 | a
 Biscoito/bolacha 3 Cereais                                                              | 21g           | 1 pacote                |   92 | a
 Biscoito / bolacha integral Club / Clube Social                                         | 26 g          | 1 pacote                |  118 | a
 Biscoito cookies integral diet ameixa preta e coco - Jasmine                            | 15 g          | 4 unidades              |   59 | a
 Biscoito cookies integral diet cappuccino e avelã - Jasmine                             | 15 g          | 4 unidades              |   59 | a
 Biscoito cookies integral diet castanha de caju - Jasmine                               | 15 g          | 4 unidades              |   61 | a
 Biscoito cookies integral diet damasco - Jasmine                                        | 15 g          | 4 unidades              |   59 | a
 Biscoito cookies integral light papaya com cassis - Jasmine                             | 12 g          | 2 unidades              |   47 | a
 Biscoito cream cracker integral                                                         | 100 g         | 1 pacote                |  500 | a
 Biscoito da Sorte                                                                       | 5 g           | 1 unidade               |   23 | a
 Biscoito de arroz integral camil                                                        | 30 g          | 13 biscoitos            |  111 | a
 biscoito de polvilho crek crek linhaça e quinua                                         | 35g           | 1 pacote                |  150 | a
 Biscoito Graos da Terra aveia e maça                                                    | 15 g          | 1 unid                  |   81 | a
 Biscoito integral                                                                       | 20 g          | 5 unidades              |  130 | a
 Biscoito levíssimo agua e sal - Bauducco                                                | 30 g          | 7 unidades              |  135 | a
 Biscoito Magic Toast Integral MARILAN                                                   | 4 g           | 1 unidade               |   14 | a
 Biscoito Magic Toast Light MARILAN                                                      | 3 g           | 1 unidade               |   12 | a
 Biscoito Minuto integral                                                                | 25 g          | 3 unidades              |  120 | a
 Biscoito Vitarella Integral                                                             | 25 g          | 5 unidades              |  108 | a
 Bolacha Cereal Mix Linhaça zero colesterol                                              | 30g           | 7 bolachas              |  118 | a
 bolacha digestiva choco                                                                 | 15 g          | 1 unidade               |   75 | a
 Bolacha Folhata Adria                                                                   | 30g           | 3 unidades              |  150 | a
 Bolacha integral                                                                        | 15 g          | 1 unidade               |   28 | a
 Bolacha Integral Isabela                                                                | 30g           | 7 unidades              |  130 | a
 bolacha integral original nestle                                                        | 21 g          | 1 pacote                |   93 | a
 Bolacha salgada de gergelim                                                             | 30g           | 4 unidades              |  135 | a
 Bolinho com Recheio de Chocolate Light - SUAVIPAN                                       | 40 g          | 1 unidade               |  117 | a
 Bolinho com Recheio de Morango Light - SUAVIPAN                                         | 40 g          | 1 unidade               |  120 | a
 Bolinho de Baunilha com recheio de Chocolate Light - SUAVIPAN                           | 40 g          | 1 unidade               |  120 | a
 Bolinho de Chocolate com recheio de Baunilha Light - SUAVIPAN                           | 40 g          | 1 unidade               |  117 | a
 Bolinho integral de espinafre e arroz                                                   | 50gr          | 1 unidade               |   80 | a
 Bolo Brigadeiro - Amor aos pedaços                                                      | 60 g          | 1 unidade               |  211 | a
 Bolo Sabor Abacaxi Light - SUAVIPAN                                                     | 50 g          | 1 fatia                 |  145 | a
 Bolo Sabor Chocolate Light - SUAVIPAN                                                   | 50 g          | 1 fatia                 |  143 | a
 Bolo Sabor Coco Light - SUAVIPAN                                                        | 50 g          | 1 fatia                 |  145 | a
 Bolo Sabor Fubá Light - SUAVIPAN                                                        | 50 g          | 1 fatia                 |  144 | a
 Bolo Sabor Laranja Light - SUAVIPAN                                                     | 50 g          | 1 fatia                 |  145 | a
 Bolo Sabor Mesclado Light - SUAVIPAN                                                    | 50 g          | 1 fatia                 |  144 | a
 Bostonmaki - Gendai                                                                     | 25 g          | 1 unidade               |   32 | a
 Brócolis cozido                                                                         | 40 g          | 4 colheres de sopa      |   10 | a
 Broto de alfafa                                                                         | 40 g          | 1 prato de sobremesa    |   12 | a
 Broto de Bambu                                                                          | 40 g          | 1 prato de sobremesa    |   11 | a
 Broto de feijão (moyashi)                                                               | 40 g          | 1 prato de sobremesa    |   15 | a
 Bucho                                                                                   | 17 g          | 1 colher de sopa        |   23 | a
 Cação                                                                                   | 200 g         | 1 pedaço                |  232 | a
 Cacau em pó sem açúcar GAROTO                                                           | 15 g          | 1 colher de sopa        |   59 | a
 Café                                                                                    | 50 g          | 1 xícara de café        |    5 | a
 Café com adoçante                                                                       | 50 ml         | 1 xícara de café        |    3 | a
 Café com leite desnatado sem açúcar                                                     | 180 g         | 1 xícara                |   45 | a
 Café Descafeinado- Nescafé                                                              | 22 g          | 1 colher de sopa        |    1 | a
 Café Dolca- Nescafé                                                                     | 22 g          | 1 colher de sopa        |    1 | a
 Café em grão orgânico - Cia Orgânica                                                    | 1 g           | 1 colher de café        |    1 | a
 Café em grão orgânico Native                                                            | 1 g           | 1 xícara de café        |    1 | a
 Café expresso curto e carioca                                                           | 50 ml         | 1 unidade               |    9 | a
 Café Matinal - Nescafé                                                                  | 22 g          | 1 colher de sopa        |    1 | a
 Café orgânico torrado e moído Cia Orgânico                                              | 1 g           | 1 colher de café        |    2 | a
 Café orgânico torrado e moído Native                                                    | 1 g           | 1 colher de café        |    1 | a
 Café Original - Nescafé                                                                 | 22 g          | 1 colher de sopa        |    1 | a
 Café Tradição - Nescafé                                                                 | 22 g          | 1 colher de sopa        |    1 | a
 Café Tradição Stick - Nescafé                                                           | 22 g          | 1 colher de sopa        |    1 | a
 Cajá-manga                                                                              | 60 g          | 1 unidade               |   27 | a
 Caju                                                                                    | 90 g          | 1 unidade               |   39 | a
 Caldo de Abobora                                                                        | 300 ml        | 1 prato de sopa         |   36 | a
 caldo de palmito                                                                        | 250           | 1 copo                  |   50 | a
 Caldo Verde                                                                             | 130 ml        | 1 concha                |   43 | a
 Califórnia Uramaki - Gendai                                                             | 25 g          | 1 unidade               |   25 | a
 Camarão cozido                                                                          | 20 g          | 1 colher de sopa        |   18 | a
 Camarão rosa                                                                            | 30 g          | 2 unidades              |   25 | a
 Canela em pó                                                                            | 5 g           | 1 colher de chá         |   13 | a
 Canjica de Milho Doce Orgânica (Pipoca Doce) - Okoshi                                   | 25 g          | 2 xícaras               |   95 | a
 Canjica de Milho Salgada Orgânica (Pipoca Salgada) - Okoshi                             | 25 g          | 2 xícaras               |   97 | a
 Canone Corpus light morango                                                             | 170 g         | 1 copo                  |   59 | a
 Capuccino diet três coraçoes                                                            | 100 ml        | 2 colheres de pó        |   66 | a
 Caqui chocolate                                                                         | 110 g         | 1 unidade               |   78 | a
 Caqui liofilizado                                                                       | 40 g          | 1 pacote                |  144 | a
 Caqui tomate                                                                            | 30g           | 1 unidade               |   87 | a
 Cará cozido                                                                             | 60 g          | 2 colheres de sopa      |   46 | a
 Carambola                                                                               | 75 g          | 1 unidade               |   34 | a
 Carapau                                                                                 | 100 g         | 1 peixe                 |   99 | a
 Carne de soja                                                                           | 50 g          | 2 colheres de sopa      |   90 | a
 Carte Dor Zero Chocolate - Kibon                                                        | 60 g          | 1 bola                  |   27 | a
 Carte Dor Zero Framboesa - Kibon                                                        | 60 g          | 1 bola                  |   29 | a
 Carte Dor Zero Maracujá - Kibon                                                         | 60 g          | 1 bola                  |   30 | a
 Castanha de caju torrada e salgada                                                      | 5 g           | 2 unidades              |   28 | a
 Castanha de caju torrada sem sal                                                        | 5 g           | 2 unidades              |   29 | a
 Castanha do pará                                                                        | 4 g           | 1 unidade               |   26 | a
 Castanha Portuguesa                                                                     | 10 g          | 1 unidade               |   19 | a
 Catalonia                                                                               | 40 g          | 1 prato de sobremesa    |    7 | a
 Catchup / ketchup                                                                       | 20 g          | 1 colher de sopa        |   21 | a
 Cebola                                                                                  | 70 g          | 1 unidade               |   27 | a
 Cebolinha                                                                               | 20 g          | 1 porção                |    4 | a
 Cenoura                                                                                 | 25 g          | 1 colher de sopa        |    8 | a
 cenoura baby - Fruto da Terra                                                           | 70g           | 10 unidades             |   30 | a
 Cerais                                                                                  | 25g           | 1 copo                  |  134 | a
 Cerealespecial k                                                                        | 375 g         | 1 pote                  |  114 | a
 Cereal Ideal - Nestlé                                                                   | 50 g          | 1 colher de sopa        |  190 | a
 Cereal Matinal Granola - Trio                                                           | 40 g          | 2 colheres de sopa      |  127 | a
 Cereal matinal s/ açúcar s/ leite                                                       | 40 g          | 1/2 xícara              |  130 | a
 cereal MultiGrain orgânico Native                                                       | 30g           | 3/4 de xícara           |  109 | a
 Cereja ao Maraschino                                                                    | 30 g          | 3 colheres de sopa      |   48 | a
 Cereja Fresca                                                                           | 7 g           | 1 unidade               |    5 | a
 Chá 31 ervas                                                                            | 10 g          | 1 litro                 |    2 | a
 Chá branco                                                                              | 200 ml        | 1 xícara                |    2 | a
 Chá Branco - Chá Mais                                                                   | 5g            | 200ml                   |   16 | a
 Chá Branco - Sabor e Saúde                                                              | 200ml         | 1 xícara                |    1 | a
 cha de erva doce,anis e menta - L'Angelica                                              | 200 ml        | 1 xicara de cha         |    0 | a
 Chá de erva doce / camomila / capim cidreira                                            | 200 ml        | 1 xícara                |    2 | a
